Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Babe Towne,1880,1,1906,1906,0.1,0,14,36,3,10,0,6,0,7,0.278,0.395,0.278,0.673,114,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Walter Curley,1874,1,1899,1899,-0.2,0,10,37,7,4,0,2,0,3,0.108,0.233,0.162,0.395,10,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Billy Hulen,1870,2,1896,1899,0.2,0,107,407,97,100,0,41,28,65,0.246,0.35,0.327,0.676,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHI,WAS"
Lev Shreve,1866,3,1887,1889,-1.9,0,59,195,20,38,0,8,8,9,0.195,0.23,0.226,0.456,38,19,37,4.89,69.0,1.563,57,57,0,473.3333333333333,141,"BLO,IND"
Denny Lyons,1866,13,1885,1897,35.5,0,1123,4300,933,1334,62,756,224,623,0.31,0.407,0.442,0.85,140,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHA,PIT,PRO,SFG,STL"
Phil Knell,1865,6,1888,1895,8.2,0,201,657,79,123,2,63,10,23,0.187,0.218,0.247,0.465,28,79,90,4.05,99.0,1.503,192,163,0,1452.3333333333333,575,"CLS,CLV,LOU,PHI,PHQ,PIT,WAS"
William Sullivan,1864,1,1884,1884,-0.3,0,1,5,0,1,0,0,0,0,0.2,0.2,0.2,0.4,35,1,0,4.5,73.0,1.667,1,1,0,6.0,3,SLM
George Moolic,1864,1,1886,1886,-0.6,0,16,56,9,8,0,2,0,2,0.143,0.172,0.196,0.369,6,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Walt Walker,1860,1,1884,1884,0.0,0,1,4,1,1,0,0,0,0,0.25,0.25,0.25,0.5,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,DTN
Bill Kienzle,1860,2,1882,1884,0.6,0,76,332,84,87,0,9,0,26,0.262,0.316,0.371,0.686,137,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHA,PHK"
Marshall Locke,1857,1,1884,1884,0.0,0,7,29,5,7,0,5,0,0,0.241,0.241,0.31,0.552,82,0,0,0.0,0.0,0.0,0,0,0,0.0,0,IHO
