Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Art Mills,1903,2,-0.3,0,19,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,5.36,71.0,1.853,19,1,0,45.333333333333336,7,ATL
Moe Berg,1902,15,-4.6,0,663,1813,150,441,6,206,12,78,0.243,0.278,0.299,0.577,49,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,CHW,CLE,LAD,MIN"
Butch Weis,1901,4,-0.1,0,128,341,39,92,2,50,6,43,0.27,0.353,0.352,0.705,83,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
George Stueland,1899,4,-1.0,0,45,35,2,6,0,3,0,1,0.171,0.194,0.171,0.366,-5,9,6,5.73,73.0,1.607,45,12,0,135.0,52,CHC
Rip Wheeler,1898,4,0.5,0,34,42,3,8,0,4,0,0,0.191,0.191,0.191,0.381,2,4,8,4.18,94.0,1.291,34,7,0,129.33333333333334,21,"CHC,PIT"
Elmer Myers,1894,8,0.1,0,194,412,37,93,0,37,4,13,0.226,0.249,0.274,0.524,51,55,72,4.06,80.0,1.441,185,127,7,1102.0,428,"BOS,CLE,OAK"
Lefty Robinson,1891,3,-1.2,0,20,35,4,7,0,1,0,5,0.2,0.3,0.229,0.529,53,1,7,6.41,69.0,1.675,19,9,0,80.0,38,"BBB,BCA,SLS"
William Fischer,1891,5,6.2,0,412,1099,109,301,10,115,20,90,0.274,0.332,0.374,0.706,110,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CHH,LAD,PIT"
Danny Hoffman,1880,9,9.3,0,829,2981,361,762,14,235,185,226,0.256,0.316,0.328,0.645,102,0,0,3.0,119.0,1.333,1,0,0,3.0,0,"BAL,NYY,OAK"
Chick Robitaille,1879,2,1.3,0,26,66,2,8,0,3,1,0,0.121,0.121,0.121,0.242,-28,12,8,2.56,113.0,1.175,26,20,0,186.33333333333334,66,PIT
Jake Virtue,1865,5,9.6,0,474,1764,321,483,7,256,50,275,0.274,0.376,0.376,0.753,113,0,0,1.8,303.0,1.4,2,0,0,5.0,2,CLV
Jumbo Harting,1865,1,0.0,0,1,3,0,1,0,1,0,0,0.333,0.333,0.667,1.0,206,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Charlie Bastian,1858,8,2.0,0,504,1806,241,342,11,144,57,179,0.189,0.268,0.264,0.532,58,0,0,3.0,129.0,1.0,1,0,0,6.0,2,"CHC,CHP,CKK,KCU,PHI,WIL"
Jim Ward,1855,1,0.0,0,1,4,1,2,0,1,0,0,0.5,0.5,0.5,1.0,232,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATH
Billy Arnold,1851,1,0.0,0,2,7,2,1,0,0,1,0,0.143,0.143,0.143,0.286,-10,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MAN
