Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
George Pierce,1888,6,-0.7,0,103,166,12,20,0,6,0,7,0.121,0.161,0.163,0.324,-4,36,27.0,3.1,94.0,1.297,103,61,1,510.3333333333333,260,"CHC,STL"
Joe Ohl,1888,1,-0.1,0,4,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,2.08,126.0,0.923,4,0,0,8.666666666666666,2,MIN
Harvey Russell,1887,2,-0.7,0,134,241,23,58,0,24,3,32,0.241,0.342,0.291,0.632,80,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BLT
Johnny Bates,1884,9,20.8,0,1154,3913,565,1087,25,417,187,503,0.278,0.367,0.377,0.744,122,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,BLT,CHC,CIN,PHI"
Ed McNichol,1879,1,-0.3,0,17,43,3,4,0,0,0,0,0.093,0.093,0.093,0.186,-41,2,12.0,4.28,64.0,1.59,17,15,0,122.0,39,ATL
Ed MacGamwell,1878,1,-0.1,0,4,16,0,4,0,0,0,1,0.25,0.294,0.25,0.544,68,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Chick Stahl,1873,10,31.6,0,1304,5069,858,1546,36,622,189,470,0.305,0.369,0.416,0.785,122,0,0.0,9.0,54.0,2.5,1,0,0,2.0,0,"ATL,BOS"
Jack O'Neill,1873,5,0.4,0,303,945,74,185,1,74,20,52,0.196,0.258,0.235,0.493,49,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHC,STL"
John Houseman,1870,2,-0.2,0,84,293,39,74,0,25,18,33,0.253,0.344,0.331,0.675,79,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,STL"
Pat Pettee,1863,1,0.0,0,2,5,1,0,0,0,1,3,0.0,0.375,0.0,0.375,11,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,LOU
Tom Dolan,1855,7,-0.8,0,225,808,95,165,1,40,11,39,0.204,0.242,0.256,0.498,58,0,0.0,4.5,86.0,1.0,1,0,0,4.0,0,"BLO,BUF,CHC,SLM,STL"
Harry Wright HOF,1835,7,0.9,0,180,813,183,224,4,113,11,37,0.276,0.307,0.336,0.643,90,4,4.0,3.68,94.0,1.625,36,8,14,100.33333333333333,6,"ATL,BNA"
