Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Lefty Hoerst,1917,5,1940,1947,-2.3,0,98,91,2,14,0,0,0,6,0.154,0.206,0.165,0.371,10,10,33,5.17,67.0,1.598,98,41,1,348.0,105,PHI
Gready McKinnis,1913,5,1941,1945,3.0,2,46,88,8,13,0,0,0,2,0.148,0.167,0.159,0.326,-1,12,20,3.47,111.0,1.25,45,35,1,244.0,127,"BBB,CAG,KCM"
Bob Scheffing,1913,8,1941,1951,2.8,0,517,1357,105,357,20,187,6,103,0.263,0.316,0.36,0.676,86,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CIN,STL"
Bobo Newsom,1907,20,1929,1953,47.8,4,609,1337,87,253,1,102,1,17,0.189,0.2,0.217,0.417,10,211,222,3.98,107.0,1.463,600,483,21,3759.3333333333335,2082,"BAL,BOS,CHC,DET,LAD,MIN,NYY,OAK,SFG"
Jim Galvin,1907,1,1930,1930,0.0,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
Woody Jensen,1907,9,1931,1939,2.0,0,738,2720,392,774,26,235,20,69,0.285,0.307,0.382,0.689,85,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Gordon Rhodes,1907,8,1929,1936,5.3,0,203,356,24,69,2,34,2,6,0.194,0.207,0.247,0.454,16,43,74,4.85,95.0,1.595,200,135,4,1048.6666666666667,356,"BOS,NYY,OAK"
LeRoy Taylor,1902,8,1925,1934,3.0,1,356,1359,250,416,5,178,68,82,0.306,0.349,0.378,0.727,94,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"AB2,ABC,BBB,CAG,CRS,HG,KCM"
Frank Brazill,1899,2,1921,1922,-0.4,0,72,190,17,49,0,20,2,23,0.258,0.344,0.284,0.628,62,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Red Causey,1893,5,1918,1922,0.1,0,146,210,14,33,0,10,0,4,0.157,0.173,0.176,0.349,0,39,35,3.59,89.0,1.379,131,80,6,649.6666666666666,139,"ATL,PHI,SFG"
