Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Emmett Nelson,1905,2,1935,1936,0.4,0,25,21,1,3,0,0,0,0,0.143,0.143,0.143,0.286,-21,5,4,4.07,97.0,1.565,25,8,1,77.33333333333333,17,CIN
Felix Martin,1899,1,1926,1926,-0.7,0,8,14,2,3,0,1,0,0,0.214,0.214,0.214,0.429,11,0,3,8.82,53.0,2.449,5,3,0,16.333333333333332,10,DYM
Carl Glass,1898,7,1924,1930,15.6,0,250,548,55,131,1,56,4,35,0.239,0.287,0.308,0.596,60,44,51,3.68,117.0,1.311,140,77,2,810.3333333333334,358,"CAG,KCM,LVB,MRS,SLS"
Frank Callaway,1898,2,1921,1922,-0.4,0,43,98,12,25,0,8,1,2,0.255,0.277,0.327,0.604,54,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Edgar Washington,1898,1,1920,1920,0.1,0,24,80,11,22,0,16,1,10,0.275,0.363,0.388,0.75,124,0,0,36.0,14.0,6.0,1,1,0,1.0,0,KCM
Sam Taylor,1898,1,1926,1926,0.0,0,1,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667,73,0,0,0.0,0.0,0.0,0,0,0,0.0,0,DYM
Lee Thompson,1898,1,1921,1921,-0.6,0,4,7,0,2,0,0,0,0,0.286,0.286,0.286,0.571,47,0,3,8.27,52.0,1.839,4,4,0,20.666666666666668,4,CHW
Rip Collins,1896,11,1920,1931,16.3,0,316,582,43,96,1,36,0,33,0.165,0.214,0.215,0.428,11,108,82,4.0,106.0,1.442,311,219,5,1711.3333333333333,569,"BAL,BOS,DET,NYY"
Harry Weaver,1892,5,1915,1919,-0.7,0,19,22,0,5,0,2,1,0,0.227,0.227,0.273,0.5,51,3,6,3.64,80.0,1.384,19,8,1,81.66666666666667,21,"CHC,OAK"
Jack Hammond,1891,2,1915,1922,-0.8,0,45,99,13,22,0,4,0,2,0.222,0.238,0.263,0.5,45,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,PIT"
Grover Alexander HOF,1887,20,1911,1930,119.7,0,703,1810,154,378,11,163,3,77,0.209,0.242,0.275,0.517,43,373,208,2.56,135.0,1.121,696,600,32,5190.0,2198,"CHC,PHI,STL"
Frank Leary,1881,1,1907,1907,0.2,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,1.13,247.0,1.625,2,1,0,8.0,4,CIN
Bill Yerrick,1874,2,1895,1896,-0.5,0,5,14,0,3,0,0,0,1,0.214,0.267,0.214,0.481,24,1,3,8.1,58.0,2.2,5,4,0,30.0,10,ATL
Ed Sixsmith,1863,1,1884,1884,-0.1,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Sam LaRocque,1863,3,1888,1891,0.2,0,124,482,66,120,2,50,28,41,0.249,0.326,0.328,0.654,99,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DTN,LOU,PIT"
Frank Decker,1857,2,1879,1882,-0.2,0,5,18,0,3,0,1,0,0,0.167,0.167,0.167,0.333,13,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"STL,SYR"
